"filename", "language", "XML", "JSON", "YAML", "Dart", "Markdown", "Groovy", "Properties", "C++", "HTML", "Swift", "comment", "blank", "total"
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/controllers/authentication_controller.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/controllers/general_controller.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/contstant/colors.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/contstant/firebsae_keys.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/contstant/image_path.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 8, 4, 71
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/contstant/text_styles.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/demo.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 11, 6, 55
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/enums/ad_listing_status.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/enums/best_describe_your_place_enum.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/enums/gender.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/enums/message_status.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/firebase_options.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 29, 5, 89
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/global_widgets/dvider.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/global_widgets/empty_space_widget.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/global_widgets/selectable_dropdown_global_widget.dart", "Dart", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 6, 95
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/app_toast.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/authentication_helper.dart", "Dart", 0, 0, 0, 466, 0, 0, 0, 0, 0, 0, 26, 41, 533
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/date_time_helper.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/in_app_notification_helper.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/helper/main_helper.dart", "Dart", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 1, 9, 111
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/main.dart", "Dart", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 10, 17, 189
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/active_ad.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 12, 60
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/additional_chargers.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 13, 72
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/animities.dart", "Dart", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 12, 109
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/availbility_settings.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 13, 89
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/describe_your_castle_mode.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 1, 11, 94
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/explore_model.dart", "Dart", 0, 0, 0, 368, 0, 0, 0, 0, 0, 0, 1, 15, 384
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/host_model.dart", "Dart", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 1, 15, 146
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/host_setting.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 13, 80
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/house_rules_model.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 1, 25, 169
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/offers.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 11, 49
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/reviews.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 10, 70
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/safty_alarm_items.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 11, 78
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/scnic_views.dart", "Dart", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 13, 190
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/services.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 11, 59
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/standout_animities_model.dart", "Dart", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 1, 11, 166
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/trip_length.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 13, 95
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/user.dart", "Dart", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 1, 15, 155
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/wifi_model.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 13, 57
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/models/wish_list_model.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 11, 57
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 5, 52
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/themepallete.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/utiles/kyes.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/utiles/local_notification.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 6, 77
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/utiles/math_utils.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 6, 8, 100
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/add_your_info/add_your_info.dart", "Dart", 0, 0, 0, 314, 0, 0, 0, 0, 0, 0, 2, 10, 326
